legislator,volunteer,date,typeOfContact,notes,support,state
Kelli Townsend,Rogelio Ramirez,9/25/2017,Emailed legislator,Called her office and sent and email with our draft resolution. I will follow up next week,2 - Not Confirmed,AZ
Kelli Townsend,Rogelio Ramirez,9/28/2017,Emailed legislator,"Rep Townsend responded to my email. she hasnt made up her mind about the bill yet, but at least now she is not against it. she recomended that we focus on educating the democratic caucus on Article V and she would like to see then introduce it.",2 - Not Confirmed,AZ
"Rep, Andrade, Rep Chavez, Sen Quezada",Rogelio Ramirez,9/28/2017,Emailed legislator,Sent introductary emails and phone calls the the legislators in maryvale. I am going to start to move my wheigt around in here.,N/A,AZ
Kelli Butler,Tony Spears,10/11/2017,Left voicemail,"I've contacted Kelli Butler's office and left her a voicemail to see if she'd gotten my email. I left my name, number, and a brief message to see if she'll get back to me. I'll wait patiently until next week and contact her again to see if she responds. ",2 - Not Confirmed,AZ
Maria Syms,Tony Spears,10/11/2017,Emailed legislator,Sent an email to Maria Sym's office. Will follow up with a phone call tomorrow morning to see if she got the email. ,2 - Not Confirmed,AZ
SEAN BOWIE,Sarah Jamie Johnson,6/8/2017,Phone call with staff,Called and left a message with his assistant Faye because he is out of the office today.,N/A,AZ
Sean Bowei,Sarah Jamie Johnson,6/8/2017,Emailed legislator,Emailed the thank you for speaking with me and the base letter from our packets.,N/A,AZ
Kate Brophy McGee,Anthony Spears,6/9/2017,Left voicemail,Left and polite and kind message to Senator McGee letting her know my concerns about money in politics at the federal level and how we can call for an Article Five Convention at the state. ,N/A,AZ
Kate Brophy McGee,Tony Spears,5/19/2017,Phone call with staff,Had a chance to chat with Sarah Griffith about talking with Rep. McGee. He suggested that I give her an email with the information about AZ Resolution and how we can get money out of politics at the federal level. ,2 - Not Confirmed,AZ
Kate Brophy McGee,Tony Spears,7/9/2017,Emailed legislator,I sent an email requesting a meeting with Senator McGee in hopes of talking with her further about the corrupting influence of money in politics at the federal level. ,2 - Not Confirmed,AZ
Kate Brophy McGee,Tony Spears,7/10/2017,Phone call with staff,I called the staff to make sure she had received the email. I sent on 07/09/2017. They staff member said she couldn't find the email so I forward it to her and she told me she would make sure. Senator McGee gets it. Will follow up later in the week to make sure the Senator had a chance to look it over. ,2 - Not Confirmed,AZ
catherine miranda,Rogelio Ramirez,8/14/2017,Phone call with staff,talked with her assistant. Sen Miranda is still traveling and her assistant is going to try to get me a meeting with her when she gets back. ,2 - Not Confirmed,AZ
Juan Mendez,Tony Spears,7/21/2017,Phone call with staff,"Called Staff and left a message to see if Juan still supports Free and Fair elections. I was given a call back saying he wouldn't introduce the legislation, but... He is in support of it, but I'll mark him as unconfirmed sense it's till to early to see if Senator Mendez will support the bill to the fullest. ",2 - Not Confirmed,AZ
catherine miranda,Rogelio Ramirez,7/27/2017,Phone call with staff,I called her assistant to see to see if she had any updates for me. Her assistant told me that Sen Miranda is against an article v convention Sen Miranda is still traveling. I ask her assistant if she could still set up a meeting with her about our resolution. ,3 - Unsupportive,AZ
Kate Brophy McGee,Tony Spears,8/14/2017,Phone call with staff,Chatted with staff to see if we could setup a meeting with her sometime later this month about free and fair elections. Was told she'd get back to me within a short period of time. Will follow up with another call. ,2 - Not Confirmed,AZ
Kate Brophy McGee,Tony Spears,8/16/2017,Left voicemail,Called Senator McGee's office and left a voice mail to see if she supports free and fair elections here in the state of Arizona. I asked that if they call back to please leave a voicemail. ,2 - Not Confirmed,AZ
Kate Brophy McGee,Dhanya Tadipatri,8/22/2017,Left voicemail,"Left a voicemail, hoping to get in touch with her soon.",N/A,AZ
Sen. Miranda,Rogelio Ramirez,8/29/2017,Phone call with staff,Had a call with her assistant. The senator is back from her travels. Her assistant is going to try and get a meeting with her and she is going to call me back.,3 - Unsupportive,AZ
Kat Brophy McGee,Tony Spears,9/6/2017,Phone call with staff,Talked with Senator McGee's staff member and had a chance to chat with her. Left contacts and was told they'll find out what McGee's schedule is like and see about setting up a meeting. ,2 - Not Confirmed,AZ
Olivia Cajero-Bedford,Kyle Hughes,9/19/2017,Phone call w/ staff and email legislator,Called Capitol office and spoke with Helen Noah (Executive Assistant). Sent email to assistant and Senator. Requested meeting with Senator in district for proposal. ,2 - Not Confirmed,AZ
Catherine Miranda,Tony Spears,9/19/2017,Phone call with staff,Thanked Senator Miranda for her support and letting her know that we appreciate her ability to help us fight for free and fair elections. ,1 - Supportive,AZ
Kate Brophy McGee,Tony Spears,9/19/2017,Phone call with staff,Got a nice phone call with senator McGee staffer. Talk with her about free and fair elections. Will call back the next morning to follow up. ,2 - Not Confirmed,AZ
Catherine Miranda,Rogelio Ramirez,9/25/2017,Phone call with Legislator,Called her assistant to set up the follow up meeting. She is till traveling in and out of town. she told me to call back mid october.,1 - Supportive,AZ
Kate McGee,Dhanya Tadipatri,10/5/2017,Left voicemail,"Senator McGee responded to my email stating that she was aware of the planning meeting for the proposed constitutional convention and wants to address ""issues with more immediate impact."" In response I left a voicemail and talked a little about the importance of our amendment.",N/A,AZ
Kate Brophy McGee,Tony Spears,10/11/2017,Emailed legislator,"I've sent Senator McGee a thank you email for her response along with her staff. Let them know I appreciated everything they've done for Arizona. We'll contact her in a few about a few other issues and go from there. Still building a relationship with her. However, I can confirm Wolf-PAC is on her radar. ",2 - Not Confirmed,AZ
Sen Martin Quezada,Rogelio Ramirez,10/11/2017,Met Legislator,I met with Sen Quezada today. He does recall Wolf PAC back when Rep Juan Mendez Introduced it in 2005. He said that he was supportive of the resolution back then and still is. He has not committed to being a sponsor. He is also being very cautions and wants to see how it is played out once it is introduced. He is the minority whip in the upper chamber and he is part of the rules committee where the wolfpac bill died last time. He could be the one that could help us get a hearing on it. ,2 - Not Confirmed,AZ
Warwick Sabin,Bryant,1/6/2017,Left voicemail,asdf,1 - Supportive,AR
Grant Hodges,Adam Ducker,1/6/2017,Left voicemail,I called and left a voicemail and followed up with an email.,N/A,AR
Jonathan Dismang,Adam Ducker,1/6/2017,Emailed legislator,Emailed the Senate President Pro Tempore about support.,N/A,AR
Jeremy Gillam,Adam Ducker,1/6/2017,Emailed legislator,Emailed the Speaker of the House for his support.,N/A,AR
Grant Hodges,Adam Ducker,1/10/2017,Emailed legislator,I heard back from Representative Hodges. He worries about a run away convention. I wrote back with some of the talking points and pointing out that whatever does come out of such a convention would still need to be passed by the states. I urged him to take some more time to consider it but as of right now he is a no.,3 - Unsupportive,AR
Mark Lowery,Robert Moore,1/13/2017,Left voicemail,Left Voicemail.,,AR
Everyone,Adam Ducker,1/20/2017,Emailed legislator,Emailed every member of the house asking for support.,N/A,AR
Everyone,Adam Ducker,1/24/2017,Emailed legislator,Emailed every member of the house asking for support.,N/A,AR
Mickey Gates,David Hernandez,1/31/2017,Phone call with Legislator,wants more information about our resolution and he will decide if he wants to support. ,3 - Unsupportive,AR
Grant Hodges,Adam Ducker,2/7/2017,Emailed legislator,I emailed Grant Hodges and heard back quickly. He's still concerned about a runaway convention but he seems like he's interested in contacting Sabin to find out more and is a potential co-sponsor though I'm hesitant to get my hopes up.,2 - Not Confirmed,AR
David Meeks,Caleb Stovall,2/3/2017,Phone call with Legislator,"He said that he knows money in politics is a problem, but has yet to see a proposal that he feels he can support.",2 - Not Confirmed,AR
David Meeks,Caleb Stovall,2/3/2017,Emailed legislator,"After talking to Rep. Meeks, I emailed a copy of the resolution to him to look over and let him know that I look forward to talking to him about the issue in the future.",,AR
David Meeks,Caleb Stovall,2/6/2017,Left voicemail,"Following up on my call from the previous Friday, I asked him to call me back.",,AR
David Meeks,Caleb Stovall,2/7/2017,Left voicemail,"Following up on my previous call and voicemail, I asked him directly to cosponsor our resolution with Rep. Sabin.",,AR
Jim Dotson,Caleb Stovall,2/7/2017,Left voicemail,Asked Rep. Dotson to please consider cosponsoring our resolution with Rep. Sabin.,,AR
Douglas House,Adam Ducker,2/7/2017,Emailed legislator,Emailed Douglas House today. He wrote back to say no thank you on co-sponsor because his plate is already full.,3 - Unsupportive,AR
Grant Hodges,Caleb Stovall,2/7/2017,Left voicemail,Asked him to join Rep. Sabin in cosponsoring the resolution.,,AR
Andy Mayberry,Caleb Stovall,2/7/2017,Emailed legislator,"Voicemail box was full, so I emailed him a copy of the resolution and asked him to cosponsor with Rep. Sabin.",,AR
Karilyn Brown ,Adam Ducker,2/7/2017,Emailed legislator,"Emailed Representative Karilyn Brown and heard back saying: ""I cannot support this resolution which effectively works to silence our voices and does not respect our First Amendment rights. I will speak against this resolution.""",3 - Unsupportive,AR
Mary Bentley,David Hernandez,4/21/2017,Phone call with Legislator,"Supportive of Article V's in general, but doesn't want to sign on to any more resolutions until enough legislators become open to use a limited article V resolution. She also requested more information about our specific resolution and our group. I emailed her the info after our call. ",2 - Not Confirmed,AR
